,2011,2012,2013,2014
городское население,"215,3","235,3","196,2",203
сельское население,"214,5","273,2","223,8","181,5"
Курская область,
Всего,
все население,"18,8","18,4","17,6","18,3"
городское население,"15,9","15,6","15,1","15,7"
сельское население,"24,2","23,6","22,3","23,4"
0,
все население,"8,4","8,7","8,5","6,5"
городское население,"7,3",8,8,"5,7"
сельское население,"10,4","10,2","9,3","8,3"
1-4.,
все население,"0,3","0,2","0,1","0,5"
городское население,"0,1","0,2","0,1","0,2"
сельское население,"0,9","0,3","0,1","0,9"
5-9.,
все население,"0,2","0,2","0,2","0,3"
городское население,"0,1","0,2","0,1","0,2"
сельское население,"0,4","0,1","0,5","0,6"
10-14.,
все население,"0,5","0,3","0,3","0,3"
городское население,"0,5","0,3","0,1","0,1"
сельское население,"0,6","0,3","0,7","0,7"
15-19,
все население,"1,2","1,5","1,4","0,9"
городское население,"0,8","1,4","0,8","0,8"
сельское население,"2,1","1,8","2,4","1,2"
20-24,
все население,"2,8","2,5","2,5",3
городское население,"2,6","1,6","1,6","2,5"
сельское население,"3,3","4,9","4,8","4,6"
25-29.,
все население,"3,9","3,6","3,5","4,5"
городское население,3,"3,3","3,1","3,6"
сельское население,"6,3","4,4","4,5","6,9"
30-34.,
все население,"5,9","5,7","5,6","5,1"
городское население,"4,9","4,9","5,2","4,8"
сельское население,"8,5","7,7","6,7","5,9"
35-39.,
все население,"7,2",8,"6,9","7,2"
городское население,"6,5","7,4","6,2","5,9"
сельское население,"8,6","9,4","8,8","10,2"
40-44.,
все население,"9,3","9,4","8,5","9,9"
городское население,"8,7","8,3","7,1","8,6"
сельское население,"10,2","11,5",11,"12,5"
45-49,
все население,"13,8","13,8","13,2","12,6"
городское население,"12,4","12,4","12,7","10,4"
сельское население,16,"16,1",14,16
50-54,
все население,"19,5","18,8","17,5","17,8"
городское население,"17,5","17,3","16,3","16,6"
сельское население,"22,6","21,2","19,4","19,7"
55-59,
все население,"27,6","24,5","24,8","25,1"
городское население,"26,2","22,7","24,1","23,1"
сельское население,30,"27,7","25,9","28,2"
60-64,
все население,"38,7","36,9","35,9","37,3"
городское население,"35,2","31,3","32,6","34,9"
сельское население,"45,4","47,5","42,3","41,7"
65-69,
все население,"52,8","47,3","44,5","45,7"
городское население,"49,2","48,2","42,1","46,5"
сельское население,"58,3","45,7","48,9","44,3"
70-74,
все население,"72,8","72,9","69,2","70,2"
городское население,"69,8","69,8","67,9","68,2"
сельское население,"76,5","76,7",71,"72,8"
75-79,
все население,"103,7","99,3","95,3","100,6"
городское население,"97,5",97,"89,1","97,7"
сельское население,"109,5","101,7","102,3",104
80-84,
все население,"152,2","156,5","141,3","152,9"
городское население,"147,4","155,9",142,"141,1"
сельское население,"156,7","156,9","140,6","163,7"
85 и старше,
все население,"204,5","195,5","186,9","204,4"
